Section 279 in The Indian Penal Code,section 279,"Central Government ActSection 279 in The Indian Penal Code 279.  Rash driving or riding on a public way.—Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with im­prisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
Section 326 in The Indian Penal Code,section 326,"Central Government ActSection 326 in The Indian Penal Code 326.  Voluntarily causing grievous hurt by dangerous weapons or means—Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance, or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to re­ceive into the blood, or by means of any animal, shall be pun­ished with 1[imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
Section 325 in The Indian Penal Code,section 325,"Central Government ActSection 325 in The Indian Penal Code 325.  Punishment for voluntarily causing grievous hurt.—Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
Section 363 in The Indian Penal Code,section 363,"Central Government ActSection 363 in The Indian Penal Code 363.  Punishment for kidnapping.—Whoever kidnaps any person from 1[India] or from lawful guardianship, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
Section 201 in The Indian Penal Code,section 201,"Central Government ActSection 201 in The Indian Penal Code 201.  Causing disappearance of evidence of offence, or giving false information to screen offender.—Whoever, knowing or having reason to believe that an offence has been committed, causes any evidence of the commission of that offence to disappear, with the intention of screening the offend­er from legal punishment, or with that intention gives any infor­mation respecting the offence which he knows or believes to be false; if a capital offence.—shall, if the offence which he knows or believes to have been committed is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life.—and if the offence is punishable with 1[imprisonment for life], or with imprisonment which may extend to ten years, shall be punished with imprison­ment of either description for a term which may extend to three years, and shall also be liable to fine; if punishable with less than ten years’ imprisonment.—and if the offence is punishable with imprisonment for any term not extend­ing to ten years, shall be punished with imprisonment of the description provided for the offence, for a term which may extend to one-fourth part of the longest term of the imprisonment pro­vided for the offence, or with fine, or with both. Illustration A, knowing that B has murdered Z, assists B to hide the body with the intention of screening B from punishment. A is liable to imprisonment of either description for seven years, and also to fine."
"Section 207 in The Code Of Criminal Procedure,   1973",section 207,"Central Government ActSection 207 in The Code Of Criminal Procedure,   1973 207.  Supply to the accused of copy of police report and other documents. In any case where the proceeding has been instituted on a police report, the Magistrate shall without delay furnish to the accused, free of cost, a copy of each of the following:- (i)  the police report;  (ii)  the first information report recorded under section 154;  (iii)  the statements recorded under sub- section (3) of section 161 of all persons whom the prosecution proposes to examine as its witnesses, excluding therefrom any part in regard to which a request for such exclusion has been made by the police officer under sub- section (6) of section 173;  (iv)  the confessions and statements, if any, recorded under section 164;  (v)  any other document or relevant extract thereof forwarded to the Magistrate with the police report under sub- section (5) of section 173: Provided that the Magistrate may, after perusing any such part of a statement as is referred to in clause (iii) and considering the reasons given by the police officer for the request, direct that a copy of that part of the statement or of such portion thereof as the Magistrate thinks proper, shall be furnished to the accused: Provided further that if the Magistrate is satisfied that any document referred to in clause (v) is voluminous, he shall, instead of furnishing the accused with a copy thereof, direct that he will only be allowed to inspect it either personally or through pleader in Court. "
Section 27 in Arms Act,section 27,"Central Government ActSection 27 in Arms Act   29  [27.  Punishment for using arms, etc.—(1)  Whoever uses any arms or ammunition in contravention of section 5 shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to seven years and shall also be liable to fine. (2)  Whoever uses any prohibited arms or prohibited ammunition in contravention of section 7 shall be punishable with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life and shall also be liable to fine. (3)  Whoever uses any prohibited arms or prohibited ammunition or does any act in contravention of section 7 and such use or act results in the death of any other person, shall be punishable with death.]"
Section 304A in The Indian Penal Code,section 304A,"Central Government ActSection 304A in The Indian Penal Code   279  [304A.  Causing death by negligence.—Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.]"
"Section 156(3) in The Code Of Criminal Procedure,   1973",section 156(3),"Central Government ActSection 156(3) in The Code Of Criminal Procedure,   1973 (3)  Any Magistrate empowered under section 190 may order such an investigation as above- mentioned.


 "
"Section 166 in The Motor Vehicles Act, 1988",section 166,"Central Government ActSection 166 in The Motor Vehicles Act, 1988 166.  Application for compensation.—(1)  An application for compensation arising out of an accident of the nature specified in sub-section (1) of section 165 may be made— (a)  by the person who has sustained the injury; or (b)  by the owner of the property; or (c)  where death has resulted from the accident, by all or any of the legal representatives of the deceased; or (d)  by any agent duly authorised by the person injured or all or any of the legal representatives of the deceased, as the case may be: Provided that where all the legal representatives of the deceased have not joined in any such application for compensation, the application shall be made on behalf of or for the benefit of all the legal representatives of the deceased and the legal representatives who have not so joined, shall be impleaded as respondents to the application. 1[(2) Every application under sub-section (1) shall be made, at the option of the claimant, either to the Claims Tribunal having jurisdiction over the area in which the accident occurred, or to the Claims Tribunal within the local limits of whose jurisdiction the claimant resides or carries on business or within the local limits of whose jurisdiction the defendant resides, and shall be in such form and contain such particulars as may be prescribed: Provided that where no claim for compensation under section 140 is made in such application, the application shall contain a separate statement to that effect immediately before the signature of the applicant.] 2[***] 3[(4) The Claims Tribunal shall treat any report of accidents forwarded to it under sub-section (6) of section 158 as an application for compensation under this Act.]"
Section 438 in The Indian Penal Code,section 438,"Central Government ActSection 438 in The Indian Penal Code 438.  Punishment for the mischief described in section 437 commit­ted by fire or explosive substance.—Whoever commits, or attempts to commit, by fire or any explosive substance, such mischief as is described in the last preceding section, shall be punished with 1[imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
Section 395 in The Indian Penal Code,section 395,"Central Government ActSection 395 in The Indian Penal Code 395.  Punishment for dacoity.—Whoever commits dacoity shall be punished with 1[imprisonment for life], or with rigorous impris­onment for a term which may extend to ten years, and shall also be liable to fine."
Section 411 in The Indian Penal Code,section 411,"Central Government ActSection 411 in The Indian Penal Code 411.  Dishonestly receiving stolen property.—Whoever dishonestly receives or retains any stolen property, knowing or having reason to believe the same to be stolen property, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
Section 427 in The Indian Penal Code,section 427,"Central Government ActSection 427 in The Indian Penal Code 427.  Mischief causing damage to the amount of fifty rupees.—Whoever commits mischief and thereby causes loss or damage to the amount of fifty rupees or upwards, shall be punished with impris­onment of either description for a term which may extend to two years, or with fine, or with both."
